frame_index,elapsed_us,target_pos_deg_0,target_pos_deg_1,target_pos_deg_2,target_pos_deg_3,target_pos_deg_4,target_pos_deg_5,target_pos_deg_6,target_pos_deg_7,target_pos_deg_8,target_pos_deg_9,target_pos_deg_10,target_pos_deg_11,rx_pos_deg_0,rx_pos_deg_1,rx_pos_deg_2,rx_pos_deg_3,rx_pos_deg_4,rx_pos_deg_5,rx_pos_deg_6,rx_pos_deg_7,rx_pos_deg_8,rx_pos_deg_9,rx_pos_deg_10,rx_pos_deg_11,tar_err_deg_0,tar_err_deg_1,tar_err_deg_2,tar_err_deg_3,tar_err_deg_4,tar_err_deg_5,tar_err_deg_6,tar_err_deg_7,tar_err_deg_8,tar_err_deg_9,tar_err_deg_10,tar_err_deg_11
0,116,2.32756348,3.73606567,13.8729309,3.63002014,-0.653263704,-14.9927755,-4.63881226,2.55325012,1.63418884,3.78772888,0.212006338,-0.976176173,2.35107422,3.77380371,14.0130615,3.66668701,-0.656433105,-15.1364136,-4.68566895,2.57904053,1.65344238,3.82598877,0.225219727,-0.988769531,-0.0235107422,-0.0377380371,-0.140130615,-0.0366668701,0.00316940183,0.143638113,0.0468566895,-0.0257904053,-0.01925354,-0.0382598877,-0.0132133886,0.0125933586
1,20440,2.30405273,3.69832764,13.7328003,3.59335327,-0.650111915,-14.8435853,-4.59195557,2.52745972,1.61768188,3.74946899,0.209779121,-0.966329777,2.35107422,3.77380371,13.9910889,3.66668701,-0.656433105,-15.0924683,-4.68841553,2.57904053,1.6506958,3.82598877,0.227966309,-0.991516113,-0.0470214844,-0.0754760742,-0.258288574,-0.0733337402,0.00632119051,0.248882933,0.0964599609,-0.0515808105,-0.033013916,-0.0765197754,-0.0181871876,0.0251863361
2,40653,2.28054199,3.6605896,13.5926697,3.5566864,-0.646881686,-14.6943749,-4.54509888,2.50166931,1.60117493,3.71120911,0.207551746,-0.956483761,2.35107422,3.77380371,13.9553833,3.66394043,-0.659179688,-15.0759888,-4.68566895,2.57904053,1.6506958,3.82598877,0.21697998,-0.988769531,-0.0705322266,-0.113214111,-0.362713623,-0.107254028,0.0122980012,0.381613829,0.140570068,-0.0773712158,-0.049520874,-0.114779663,-0.00942823415,0.0322857701
3,60985,2.25703125,3.62285156,13.4525391,3.52001953,-0.643573282,-14.5451436,-4.49824219,2.47587891,1.58466797,3.67294922,0.205324214,-0.946638124,2.35107422,3.76831055,13.8674927,3.66394043,-0.659179688,-15.0265503,-4.68566895,2.57629395,1.6506958,3.82598877,0.195007324,-1.03271484,-0.0940429688,-0.145458984,-0.414953613,-0.143920898,0.0156064052,0.481406702,0.187426758,-0.100415039,-0.066027832,-0.153039551,0.0103168896,0.0860767193
4,81299,2.23352051,3.58511353,13.3124084,3.48335266,-0.640186968,-14.3958906,-4.4513855,2.4500885,1.56816101,3.63468933,0.203096523,-0.936792867,2.35107422,3.76281738,13.7136841,3.66394043,-0.656433105,-14.9606323,-4.68566895,2.5680542,1.64794922,3.82324219,0.230712891,-0.991516113,-0.117553711,-0.177703857,-0.401275635,-0.180587769,0.0162461375,0.564741749,0.234283447,-0.117965698,-0.079788208,-0.188552856,-0.0276163672,0.0547232466
5,101692,2.21000977,3.54737549,13.1722778,3.44668579,-0.636723009,-14.2466152,-4.40452881,2.4242981,1.55165405,3.59642944,0.200868675,-0.926947988,2.35107422,3.74908447,13.5818481,3.66119385,-0.656433105,-14.9194336,-4.68292236,2.55981445,1.64520264,3.8067627,0.244445801,-0.986022949,-0.141064453,-0.201708984,-0.409570313,-0.214508057,0.0197100969,0.67281841,0.278393555,-0.135516357,-0.093548584,-0.210333252,-0.0435771256,0.0590749615
6,122025,2.18649902,3.50963745,13.0321472,3.41001892,-0.63318167,-14.0973167,-4.35767212,2.39850769,1.53514709,3.55816956,0.198640669,-0.917103487,2.35107422,3.73809814,13.4609985,3.64746094,-0.634460449,-14.8727417,-4.67193604,2.55432129,1.63970947,3.79577637,0.238952637,-0.991516113,-0.164575195,-0.228460693,-0.428851318,-0.237442017,0.00127877945,0.775424988,0.314263916,-0.155813599,-0.104562378,-0.237606812,-0.0403119678,0.0744126261
7,142327,2.16298828,3.47189941,12.8920166,3.37335205,-0.629563217,-13.9479944,-4.31081543,2.37271729,1.51864014,3.51990967,0.196412505,-0.907259365,2.34832764,3.71887207,13.3648682,3.62823486,-0.637207031,-14.8068237,-4.66644287,2.54882812,1.63421631,3.77380371,0.238952637,-0.988769531,-0.185339355,-0.246972656,-0.472851562,-0.254882812,0.00764381383,0.858829281,0.355627441,-0.17611084,-0.115576172,-0.253894043,-0.042540132,0.0815101662
8,162617,2.13947754,3.43416138,12.751886,3.33668518,-0.625867918,-13.7986477,-4.26395874,2.34692688,1.50213318,3.48164978,0.194184183,-0.897415621,2.34832764,3.70513916,13.2714844,3.60351562,-0.637207031,-14.7628784,-4.6472168,2.5378418,1.62872314,3.75457764,0.21697998,-0.988769531,-0.208850098,-0.270977783,-0.519598389,-0.266830444,0.0113391135,0.964230729,0.383258057,-0.190914917,-0.126589966,-0.272927856,-0.022795798,0.0913539104
9,182983,2.1159668,3.39642334,12.6117554,3.30001831,-0.622096037,-13.6492757,-4.21710205,2.32113647,1.48562622,3.44338989,0.191955702,-0.887572255,2.34832764,3.69415283,13.1616211,3.5760498,-0.637207031,-14.6749878,-4.62249756,2.52685547,1.62322998,3.72436523,0.21697998,-0.980529785,-0.23236084,-0.297729492,-0.549865723,-0.276031494,0.0151109941,1.02571207,0.405395508,-0.205718994,-0.13760376,-0.280975342,-0.0250242782,0.0929575306
