frame_index,elapsed_us,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,target_q_model_rad_0,target_q_model_rad_1,target_q_model_rad_2,target_q_model_rad_3,target_q_model_rad_4,target_q_model_rad_5,target_q_model_rad_6,target_q_model_rad_7,target_q_model_rad_8,target_q_model_rad_9,target_q_model_rad_10,target_q_model_rad_11,target_rad_0,target_rad_1,target_rad_2,target_rad_3,target_rad_4,target_rad_5,target_rad_6,target_rad_7,target_rad_8,target_rad_9,target_rad_10,target_rad_11
0,8664600,-7.55779743,8.39532471,-0.0730623901,-0.233429223,0.489941478,0.516748667,-1.86790144,0.477398902,-0.0878710821,-3.1063745,-6.97160339,-0.936242938,-0.12,0.12,-0.232878076,-0.30504315,0.0391953182,0.0413398933,0.2,0.414829506,-0.0675742164,-0.23,-0.08,-0.074899435,-0.12,0.232878076,0.0391953182,0.2,0.0675742164,-0.08,-0.12,-0.30504315,0.0413398933,-0.414829506,0.074899435,0.23
1,8674931,-10.3499022,12.8858166,0.0254407041,0.0888981372,0.947790623,0.983828425,-2.75584912,-0.654100955,-0.00882229768,-6.29424143,-10.642436,-1.45516276,-0.12,0.12,-0.188551683,-0.159995838,0.0758232498,0.078706274,0.2,0.2,-0.0517644595,-0.23,-0.08,-0.08,-0.12,0.188551683,0.0758232498,0.2,0.0517644595,-0.08,-0.12,-0.159995838,0.078706274,-0.2,0.08,0.23
2,8700054,-10.4163141,14.9542265,-0.0572341494,0.339386404,1.3104707,1.40617085,-2.96273971,-1.42023885,-0.283626825,-8.26968956,-12.1938744,-1.87367594,-0.12,0.12,-0.225755367,-0.0472761184,0.104837656,0.112493668,0.2,0.2,-0.106725365,-0.23,-0.08,-0.08,-0.12,0.225755367,0.104837656,0.2,0.106725365,-0.08,-0.12,-0.0472761184,0.112493668,-0.2,0.08,0.23
3,8713960,-9.30357456,15.22155,-0.741376758,0.908875704,1.7814219,1.69471455,-3.31206203,-1.83950281,-0.917350888,-9.23354244,-12.2094078,-1.93836129,-0.12,0.12,-0.533619541,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,-0.08,-0.08,-0.12,0.533619541,0.12,0.2,0.23,-0.08,-0.12,0.2,0.12,-0.2,0.08,0.23
4,8740697,-8.37979794,14.9181013,-1.37002838,1.20815241,1.90103245,1.78039813,-3.72749567,-1.7749418,-1.76939964,-9.71346092,-11.8839598,-1.96883655,-0.12,0.12,-0.6,0.2,0.12,0.12,0.2,0.2,-0.23,-0.23,-0.08,-0.08,-0.12,0.6,0.12,0.2,0.23,-0.08,-0.12,0.2,0.12,-0.2,0.08,0.23
5,8754633,-7.91954613,13.7506361,-2.25888562,1.68887019,1.11500752,1.74682641,-3.64384627,-2.53591251,-2.88904023,-10.2278242,-10.6463795,-2.0532701,-0.12,0.12,-0.6,0.2,0.0892006016,0.12,0.2,0.2,-0.23,-0.23,-0.08,-0.08,-0.12,0.6,0.0892006016,0.2,0.23,-0.08,-0.12,0.2,0.12,-0.2,0.08,0.23
6,8785379,-7.80883265,12.8153877,-3.05000782,2.12578964,0.152239516,1.04077303,-3.93542075,-3.02213454,-3.56754398,-10.3119974,-9.30554867,-2.43842578,-0.12,0.12,-0.6,0.2,0.0121791613,0.0832618427,0.2,0.2,-0.23,-0.23,-0.08,-0.08,-0.12,0.6,0.0121791613,0.2,0.23,-0.08,-0.12,0.2,0.0832618427,-0.2,0.08,0.23
7,8796329,-7.54861307,11.7147799,-3.64494991,2.36035514,-0.76814121,0.0896398053,-4.10827255,-3.23798084,-3.58881903,-10.0817308,-8.29345989,-2.69835734,-0.12,0.12,-0.6,0.2,-0.0614512968,0.00717118442,0.2,0.2,-0.23,-0.23,-0.08,-0.08,-0.12,0.6,-0.0614512968,0.2,0.23,-0.08,-0.12,0.2,0.00717118442,-0.2,0.08,0.23
8,8816883,-7.11277294,10.3264685,-4.11184502,2.34689879,-1.42292619,-0.551279962,-3.92659879,-3.40972281,-3.50754237,-9.63219643,-7.63734961,-2.65308022,-0.12,0.12,-0.6,0.2,-0.113834095,-0.044102397,0.2,0.2,-0.23,-0.23,-0.08,-0.08,-0.12,0.6,-0.113834095,0.2,0.23,-0.08,-0.12,0.2,-0.044102397,-0.2,0.08,0.23
9,8844230,-6.60916567,9.16541386,-4.29637718,2.20703983,-1.66883993,-0.807788432,-3.52604508,-3.44391966,-3.58319044,-9.17313671,-7.13509369,-2.49613667,-0.12,0.12,-0.6,0.2,-0.12,-0.0646230745,0.2,0.2,-0.23,-0.23,-0.08,-0.08,-0.12,0.6,-0.12,0.2,0.23,-0.08,-0.12,0.2,-0.0646230745,-0.2,0.08,0.23
